Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
01AA002,"DAAQUAM (RIVIERE) EN AVAL DE LA RIVIERE SHIDGEL",QC,Discontinued,46.55750,-70.08111,1967,1977,"590","",N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,"MINISTERE DE L'ENVIRONNEMENT DU QUEBEC",Y
01AA004,"GAUTHIER (RIVIERE) A SON EMBOUCHURE",QC,Discontinued,46.80083,-70.13806,1975,1981,"16.6","",N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,"MINISTERE DE L'ENVIRONNEMENT DU QUEBEC",Y
01AB001,"BUCKLEY (RIVIERE) EN AVAL DU LAC JOHNNY",QC,Discontinued,46.87917,-70.08750,1973,1981,"6.94","",N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,"MINISTERE DE L'ENVIRONNEMENT DU QUEBEC",Y
01AD001,"MADAWASKA (RIVIÈRE) À 6 KM EN AVAL DU BARRAGE TÉMISCOUATA",QC,Discontinued,47.54833,-68.63639,1918,2005,"2690","",R,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,"MINISTERE DE L'ENVIRONNEMENT DU QUEBEC",Y
01AD002,"SAINT JOHN RIVER AT FORT KENT",NB,Active,47.25806,-68.59583,1926,2026,"14700","",N,Flow,Continuous,N,Y,N,INTERNATIONAL BOUNDARY COMMISSION DATUM,DARTMOUTH,"UNITED STATES GEOLOGICAL SURVEY",Y
01AD003,"ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE",NB,Active,47.20658,-68.95555,1951,2026,"1350","",N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,DARTMOUTH,"",N
01AD004,"SAINT JOHN RIVER AT EDMUNDSTON",NB,Active,47.36078,-68.32489,1967,2026,"15500","",N,Flow and Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,"",N
01AD005,"MADAWASKA (RIVIERE) AU RESERVOIR TEMISCOUATA",QC,Discontinued,47.57056,-68.64306,1930,1974,"2590","",R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,"QUEBEC HYDRO-ELECTRIC COMMISSION",Y
01AD007,"PERCHE (RUISSEAU A LA) DE LA RIVIERE MADAWSKA",QC,Discontinued,47.55611,-68.64222,1930,1945,"95.9","",N,Flow,Miscellaneous,N,N,N,ARBITRAIRE,QUEBEC CITY,"MINISTERE DE L'ENVIRONNEMENT DU QUEBEC",Y
01AD008,"LONG (LAC) PRES DE LES ETROITS",QC,Discontinued,47.39083,-68.89833,1968,1974,"106","",N,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,"MINISTERE DE L'ENVIRONNEMENT DU QUEBEC",Y
01AD009,"CABANO (RIVIERE) AU LAC LONG",QC,Discontinued,47.46444,-69.00194,1973,1982,"166","",N,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,"MINISTERE DE L'ENVIRONNEMENT DU QUEBEC",Y
